PriceRange,ReleaseYear,Camera,AvailableColors,Ram_GB,NetworkSupport,BluetoothVersion,Rom_GB,BatteryCapacity,VideoRes,NumOfSensors,FastCharging,WR_version,OTG,USB_Version,TypeC,NFC,Display,Protection,Chipset,Processor,GPU,Fingerprint,FaceLock
1.0,2020.0,32.0,3.0,6.0,3.0,5.0,64.0,6000.0,2160.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
4.0,2021.0,10.0,6.0,8.0,4.0,5.0,128.0,4800.0,2160.0,6.0,25.0,68.0,1,3.2,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 2100 (5 nm),"Octa core, up to 2.9 GHz",Mali-G78 MP14,1,1
2.0,2020.0,32.0,2.0,8.0,3.0,5.0,128.0,7000.0,1080.0,5.0,25.0,0.0,1,2.0,1,1,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 730G (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
4.0,2020.0,10.0,3.0,8.0,3.0,5.0,256.0,4300.0,2160.0,6.0,25.0,68.0,1,3.1,1,1,Super AMOLED Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
1.0,2020.0,5.0,2.0,3.0,3.0,4.2,32.0,4000.0,0.0,2.0,0.0,0.0,1,2.0,0,0,PLS TFT Touchscreen,0,Qualcomm Snapdragon 439 (12 nm),"Octa core, up to 1.95 GHz",Adreno 505,0,1
4.0,2020.0,32.0,6.0,8.0,3.0,5.0,128.0,4500.0,2160.0,6.0,25.0,68.0,1,3.2,1,1,Super AMOLED Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
1.0,2020.0,8.0,3.0,4.0,3.0,4.2,32.0,5000.0,1080.0,3.0,15.0,0.0,1,2.0,1,0,PLS TFT Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, up to 1.8 GHz",Adreno 506,1,1
1.0,2020.0,20.0,4.0,6.0,3.0,5.0,64.0,5000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,MediaTek Helio P65 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52,1,1
4.0,2020.0,40.0,2.0,16.0,4.0,5.0,128.0,5000.0,2160.0,5.0,45.0,68.0,1,3.1,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
3.0,2020.0,32.0,3.0,8.0,3.0,5.0,128.0,4500.0,1080.0,6.0,25.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 9810 (10 nm),"Octa core, up to 2.7 GHz",Mali-G72 MP18,1,1
2.0,2019.0,32.0,5.0,8.0,3.0,5.0,128.0,4500.0,1080.0,5.0,25.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 730 (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
2.0,2019.0,32.0,5.0,6.0,3.0,5.0,64.0,4000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
